iter	Passed	Remaining
857	7373	1220
858	7383	1211
859	7389	1202
860	7398	1194
861	7403	1185
862	7408	1176
863	7415	1167
864	7422	1158
865	7427	1149
866	7434	1140
867	7439	1131
868	7445	1122
869	7450	1113
870	7455	1104
871	7462	1095
872	7469	1086
873	7474	1077
874	7480	1068
875	7484	1059
876	7489	1050
877	7495	1041
878	7500	1032
879	7505	1023
880	7511	1014
881	7515	1005
882	7520	996
883	7525	987
884	7530	978
885	7534	969
886	7539	960
887	7544	951
888	7549	942
889	7556	933
890	7561	925
891	7567	916
892	7573	907
893	7577	898
894	7583	889
895	7588	880
896	7595	872
897	7599	863
898	7606	854
899	7612	845
900	7616	836
901	7623	828
902	7628	819
903	7635	810
904	7641	802
905	7646	793
906	7651	784
907	7656	775
908	7661	766
909	7669	758
910	7674	749
911	7679	740
912	7685	732
913	7690	723
914	7695	714
915	7700	706
916	7705	697
917	7710	688
918	7716	680
919	7722	671
920	7732	663
921	7737	654
922	7742	645
923	7760	638
924	7788	631
925	7796	623
926	7937	625
927	7948	616
928	7956	608
929	7966	599
930	7988	592
931	8007	584
932	8019	575
933	8039	568
934	8068	560
935	8082	552
936	8104	544
937	8184	540
938	8198	532
939	8209	524
940	8233	516
941	8252	508
942	8264	499
943	8275	490
944	8286	482
945	8297	473
946	8310	465
947	8315	456
948	8323	447
949	8327	438
950	8334	429
951	8340	420
952	8346	411
953	8352	402
954	8357	393
955	8363	384
956	8369	376
957	8374	367
958	8381	358
959	8388	349
960	8394	340
961	8404	331
962	8417	323
963	8437	315
964	8459	306
965	8474	298
966	8488	289
967	8502	281
968	8509	272
969	8522	263
970	8539	255
971	8553	246
972	8559	237
973	8576	228
974	8587	220
975	8599	211
976	8604	202
977	8615	193
978	8623	184
979	8629	176
980	8634	167
981	8644	158
982	8650	149
983	8665	140
984	8676	132
985	8684	123
986	8690	114
987	8695	105
988	8700	96
989	8705	87
990	8710	79
991	8714	70
992	8719	61
993	8724	52
994	8729	43
995	8734	35
996	8739	26
997	8745	17
998	8750	8
999	8754	0
